iter	Passed	Remaining
0	95	95226
1	97	48570
2	99	32954
3	100	25097
4	102	20388
5	103	17224
6	105	14927
7	106	13193
8	107	11839
9	108	10759
10	109	9874
11	110	9138
12	112	8513
13	113	7977
14	114	7511
15	115	7121
16	116	6755
17	117	6430
18	118	6135
19	119	5869
20	120	5636
21	122	5426
22	123	5235
23	124	5054
24	125	4881
25	125	4719
26	126	4572
27	127	4434
28	128	4305
29	129	4183
30	130	4069
31	130	3960
32	131	3859
33	132	3765
34	133	3678
35	134	3593
36	134	3513
37	135	3437
38	136	3363
39	137	3295
40	138	3229
41	139	3171
42	139	3113
43	140	3056
44	141	3000
45	142	2946
46	142	2895
47	143	2847
48	144	2800
49	145	2760
50	146	2719
51	146	2678
52	147	2638
53	148	2600
54	149	2562
55	149	2526
56	150	2493
57	151	2462
58	152	2435
59	153	2402
60	154	2371
61	154	2342
62	155	2312
63	156	2283
64	156	2254
65	157	2228
66	158	2203
67	158	2174
68	159	2151
69	160	2129
70	160	2106
71	161	2083
72	162	2060
73	162	2038
74	163	2018
75	164	1999
76	165	1980
77	165	1961
78	166	1943
79	167	1925
80	168	1906
81	168	1888
82	169	1875
83	170	1859
84	171	1841
85	171	1826
86	172	1808
87	173	1793
88	173	1777
89	174	1762
90	174	1748
91	175	1734
92	176	1722
93	177	1708
94	177	1694
95	178	1681
96	179	1668
97	179	1655
98	180	1643
99	181	1631
100	182	1621
101	182	1607
102	183	1596
103	184	1585
104	184	1574
105	185	1562
106	185	1551
107	186	1541
108	187	1530
109	188	1521
110	188	1512
111	189	1502
112	190	1493
113	190	1484
114	191	1475
115	192	1466
116	193	1458
117	194	1450
118	194	1440
119	195	1432
120	196	1424
121	196	1416
122	197	1406
123	197	1398
124	198	1390
125	199	1382
126	200	1377
127	200	1369
128	201	1362
129	202	1354
130	203	1347
131	203	1339
132	204	1332
133	205	1325
134	205	1317
135	206	1311
136	207	1307
137	208	1300
138	209	1294
139	209	1288
140	210	1282
141	211	1276
142	212	1270
143	212	1265
144	213	1260
145	214	1255
146	215	1249
147	216	1243
148	216	1238
149	217	1232
150	218	1226
151	218	1221
152	219	1216
153	220	1211
154	221	1205
155	221	1200
156	222	1194
157	223	1189
158	223	1184
159	224	1179
160	225	1175
161	226	1169
162	226	1165
163	227	1160
164	228	1155
165	228	1150
166	229	1145
167	230	1140
168	231	1136
169	231	1132
170	232	1127
171	233	1122
172	233	1118
173	234	1113
174	235	1108
175	236	1104
176	236	1101
177	237	1097
178	238	1093
179	239	1089
180	239	1083
181	240	1079
182	240	1074
183	241	1071
184	242	1067
185	243	1063
186	243	1059
187	244	1056
188	245	1052
189	246	1048
190	246	1044
191	247	1041
192	248	1037
193	248	1033
194	249	1029
195	250	1025
196	250	1022
197	251	1018
198	252	1015
199	252	1011
200	253	1008
201	254	1004
202	255	1001
203	255	998
204	256	995
205	257	992
206	258	989
207	259	986
208	259	983
209	260	980
210	261	977
211	262	974
212	262	971
213	263	968
214	264	965
215	265	962
216	266	959
217	266	956
218	267	953
219	268	950
220	268	947
221	269	944
222	270	941
223	270	938
224	271	936
225	272	933
226	273	930
227	273	927
228	274	924
229	275	921
230	275	918
231	276	916
232	277	913
233	278	910
234	279	908
235	279	905
236	280	902
237	281	899
238	281	896
239	282	893
240	282	890
241	283	887
242	284	885
243	284	882
244	285	879
245	285	876
246	286	873
247	287	870
248	287	868
249	288	865
250	289	862
251	289	860
252	290	857
253	291	854
254	291	852
255	292	849
256	292	847
257	293	844
258	294	841
259	294	839
260	295	837
261	296	834
262	296	831
263	297	829
264	298	826
265	298	824
266	299	821
267	299	819
268	300	816
269	301	814
270	301	811
271	302	809
272	303	807
273	303	804
274	304	802
275	305	800
276	305	797
277	306	795
278	306	793
279	307	791
280	308	788
281	309	786
282	309	785
283	310	783
284	311	781
285	312	779
286	312	777
287	313	775
288	314	773
289	314	770
290	315	769
291	316	767
292	317	765
293	317	763
294	318	761
295	319	760
296	320	758
297	321	756
298	321	754
299	322	752
300	323	750
301	323	748
302	324	746
303	324	744
304	325	741
305	326	739
306	326	737
307	327	735
308	328	733
309	328	731
310	329	729
311	330	727
312	330	726
313	331	724
314	332	722
315	332	720
316	333	718
317	334	716
318	334	714
319	335	712
320	335	710
321	336	709
322	337	707
323	338	705
324	338	703
325	339	701
326	340	700
327	340	698
328	341	696
329	342	694
330	343	693
331	343	691
332	344	689
333	345	688
334	345	686
335	346	684
336	347	682
337	347	681
338	348	679
339	349	678
340	350	676
341	350	675
342	351	673
343	352	671
344	352	669
345	353	667
346	354	666
347	354	664
348	355	662
349	355	661
350	356	659
351	357	657
352	357	655
353	358	654
354	359	652
355	359	650
356	360	649
357	360	647
358	361	645
359	362	644
360	362	642
361	363	640
362	364	639
363	364	637
364	365	635
365	365	633
366	366	632
367	367	630
368	368	629
369	368	627
370	369	626
371	370	624
372	370	623
373	371	621
374	371	619
375	372	618
376	373	616
377	374	615
378	374	614
379	375	612
380	376	610
381	376	609
382	377	607
383	378	606
384	378	604
385	379	603
386	380	601
387	380	600
388	381	599
389	382	597
390	382	596
391	383	594
392	384	593
393	384	591
394	385	590
395	385	588
396	386	587
397	387	585
398	388	584
399	388	583
400	389	581
401	389	580
402	390	578
403	391	577
404	391	575
405	392	574
406	393	573
407	394	571
408	394	570
409	395	569
410	396	567
411	396	566
412	397	564
413	398	563
414	399	562
415	400	561
416	400	560
417	401	558
418	402	557
419	402	556
420	403	554
421	403	553
422	404	551
423	405	550
424	406	549
425	406	548
426	407	546
427	408	545
428	408	544
429	409	542
430	410	541
431	410	539
432	411	538
433	412	537
434	412	536
435	413	534
436	414	533
437	414	532
438	415	530
439	416	529
440	416	528
441	417	526
442	418	526
443	419	524
444	419	523
445	420	522
446	420	520
447	421	519
448	422	518
449	422	516
450	423	515
451	425	515
452	426	514
453	426	513
454	427	511
455	427	510
456	428	509
457	429	507
458	429	506
459	430	505
460	431	504
461	431	502
462	432	501
463	433	500
464	433	499
465	434	497
466	435	496
467	435	495
468	436	494
469	437	493
470	437	491
471	438	490
472	439	489
473	439	488
474	440	486
475	441	485
476	441	484
477	442	483
478	443	481
479	443	480
480	444	479
481	445	478
482	445	477
483	446	475
484	446	474
485	447	473
486	448	472
487	448	470
488	449	469
489	450	468
490	451	467
491	451	466
492	452	465
493	452	463
494	453	462
495	454	461
496	454	460
497	455	459
498	456	458
499	456	456
500	457	455
501	458	454
502	458	453
503	459	452
504	460	451
505	460	450
506	461	448
507	462	447
508	462	446
509	463	445
510	464	444
511	464	443
512	465	442
513	466	440
514	467	440
515	468	439
516	468	437
517	469	436
518	469	435
519	470	434
520	471	433
521	471	432
522	472	430
523	473	429
524	473	428
525	474	427
526	475	426
527	475	425
528	476	424
529	476	422
530	477	421
531	478	420
532	478	419
533	479	418
534	480	417
535	480	416
536	481	415
537	482	414
538	482	412
539	483	411
540	484	410
541	484	409
542	485	408
543	486	407
544	486	406
545	487	405
546	488	404
547	489	403
548	489	402
549	490	401
550	491	400
551	491	399
552	492	398
553	493	397
554	493	396
555	494	395
556	495	393
557	495	392
558	496	391
559	497	390
560	498	389
561	498	388
562	499	387
563	499	386
564	500	385
565	501	384
566	501	383
567	502	382
568	503	381
569	503	380
570	504	378
571	505	377
572	505	376
573	506	375
574	507	374
575	507	373
576	508	372
577	509	371
578	509	370
579	510	369
580	510	368
581	511	367
582	512	366
583	513	365
584	513	364
585	514	363
586	515	362
587	515	361
588	516	360
589	517	359
590	517	358
591	518	357
592	519	356
593	519	355
594	520	354
595	521	353
596	522	352
597	522	351
598	523	350
599	524	349
600	524	348
601	525	347
602	526	346
603	527	345
604	527	344
605	528	343
606	529	342
607	529	341
608	530	340
609	531	339
610	531	338
611	532	337
612	533	336
613	534	335
614	535	334
615	535	333
616	536	332
617	536	331
618	537	330
619	538	329
620	539	328
621	539	327
622	540	326
623	540	325
624	541	324
625	542	323
626	542	322
627	543	322
628	544	321
629	545	320
630	545	319
631	546	318
632	547	317
633	547	316
634	548	315
635	549	314
636	549	313
637	550	312
638	551	311
639	551	310
640	552	309
641	553	308
642	553	307
643	554	306
644	555	305
645	556	304
646	557	303
647	557	302
648	558	301
649	559	301
650	559	300
651	560	299
652	560	298
653	561	297
654	562	296
655	563	295
656	563	294
657	564	293
658	565	292
659	565	291
660	566	290
661	566	289
662	567	288
663	568	287
664	569	286
665	569	285
666	570	284
667	571	283
668	571	282
669	572	281
670	573	280
671	573	280
672	574	279
673	575	278
674	576	277
675	576	276
676	577	275
677	578	274
678	579	273
679	579	272
680	580	271
681	581	271
682	582	270
683	582	269
684	583	268
685	584	267
686	584	266
687	585	265
688	586	264
689	586	263
690	587	262
691	588	261
692	588	260
693	589	260
694	590	259
695	590	258
696	591	257
697	592	256
698	592	255
699	593	254
700	594	253
701	595	252
702	595	251
703	596	250
704	597	249
705	597	248
706	598	247
707	599	247
708	599	246
709	600	245
710	601	244
711	601	243
712	602	242
713	603	241
714	604	240
715	604	239
716	605	239
717	606	238
718	607	237
719	607	236
720	608	235
721	608	234
722	609	233
723	610	232
724	610	231
725	611	230
726	612	229
727	613	229
728	613	228
729	614	227
730	615	226
731	615	225
732	616	224
733	616	223
734	617	222
735	618	221
736	619	220
737	619	220
738	620	219
739	621	218
740	621	217
741	622	216
742	623	215
743	623	214
744	624	213
745	625	212
746	625	211
747	626	211
748	627	210
749	627	209
750	628	208
751	629	207
752	629	206
753	630	205
754	631	204
755	631	203
756	632	203
757	633	202
758	633	201
759	634	200
760	635	199
761	635	198
762	636	197
763	637	196
764	637	195
765	638	195
766	639	194
767	639	193
768	640	192
769	641	191
770	641	190
771	642	189
772	643	188
773	643	188
774	644	187
775	645	186
776	645	185
777	646	184
778	647	183
779	647	182
780	648	181
781	649	180
782	650	180
783	650	179
784	651	178
785	652	177
786	652	176
787	653	175
788	654	174
789	654	174
790	655	173
791	656	172
792	656	171
793	657	170
794	658	169
795	658	168
796	659	167
797	660	167
798	660	166
799	661	165
800	662	164
801	662	163
802	663	162
803	664	161
804	664	161
805	665	160
806	665	159
807	666	158
808	667	157
809	667	156
810	668	155
811	669	154
812	670	154
813	670	153
814	671	152
815	671	151
816	672	150
817	673	149
818	673	148
819	674	148
820	675	147
821	675	146
822	676	145
823	676	144
824	677	143
825	678	142
826	678	142
827	679	141
828	680	140
829	681	139
830	681	138
831	682	137
832	682	136
833	683	136
834	684	135
835	684	134
836	685	133
837	686	132
838	686	131
839	687	130
840	687	130
841	688	129
842	689	128
843	689	127
844	690	126
845	691	125
846	691	124
847	692	124
848	693	123
849	693	122
850	694	121
851	695	120
852	695	119
853	696	119
854	697	118
855	697	117
856	698	116
857	699	115
858	699	114
859	700	114
860	701	113
